rule_id,description,current_implementation_path,source_SOP_section,fields_referenced,severity_or_priority,is_deterministic,covering_scenarios
ACC-001,"Patient name missing -> hold order, request name",knowledge_base/workflow_states.yaml:rules[ACC-001],knowledge_base/sops/accessioning.md#3.1,patient_name,severity=HOLD,true,"SC-003;SC-004;SC-006;SC-008;SC-080;SC-081;SC-082;SC-104"
ACC-002,"Patient sex missing -> hold order, request sex",knowledge_base/workflow_states.yaml:rules[ACC-002],knowledge_base/sops/accessioning.md#3.1,sex,severity=HOLD,true,"SC-005;SC-006;SC-082;SC-083;SC-104"
ACC-003,Anatomic site on blacklist (definitively out-of-scope) -> DO_NOT_PROCESS,samantha_server/rules/specs/ACC-003.yaml,knowledge_base/sops/accessioning.md#3.2,anatomic_site,severity=REJECT,true,"SC-007;SC-008;SC-080;SC-082"
ACC-004,Specimen type incompatible with histology workflow -> DO_NOT_PROCESS,knowledge_base/workflow_states.yaml:rules[ACC-004],knowledge_base/sops/accessioning.md#3.2,specimen_type,severity=REJECT,true,"SC-009;SC-010;SC-100;SC-101;SC-104"
ACC-005,HER2 ordered and fixative is not formalin -> DO_NOT_PROCESS,knowledge_base/workflow_states.yaml:rules[ACC-005],knowledge_base/rules/fixation_requirements.md#ACC-005,"fixative;ordered_tests",severity=REJECT,true,"SC-010;SC-011;SC-012"
ACC-006,HER2 ordered and fixation time outside 6-72h -> DO_NOT_PROCESS,knowledge_base/workflow_states.yaml:rules[ACC-006],knowledge_base/rules/fixation_requirements.md#ACC-006,"fixation_time_hours;ordered_tests",severity=REJECT,true,"SC-013;SC-014;SC-081;SC-082"
ACC-007,Billing info missing -> MISSING_INFO_PROCEED with flag,knowledge_base/workflow_states.yaml:rules[ACC-007],knowledge_base/sops/accessioning.md#3.1,billing_info_present,severity=PROCEED,true,"SC-004;SC-015;SC-016;SC-070;SC-071;SC-072;SC-073;SC-079;SC-082;SC-083;SC-090;SC-091;SC-097;SC-098;SC-104;SC-105"
ACC-008,All accessioning validations pass -> ACCEPTED (defined as: no other ACC rule fires),knowledge_base/workflow_states.yaml:rules[ACC-008],knowledge_base/sops/accessioning.md#3.4,"patient_name;sex;specimen_type;anatomic_site;fixative;fixation_time_hours;ordered_tests;billing_info_present",severity=ACCEPT,true,"SC-001;SC-002;SC-017-SC-069;SC-074-SC-078;SC-084-SC-089;SC-092-SC-096;SC-099;SC-106-SC-113 (80 total)"
ACC-009,HER2 ordered and fixation time is null -> MISSING_INFO_HOLD,knowledge_base/workflow_states.yaml:rules[ACC-009],knowledge_base/rules/fixation_requirements.md#ACC-009,"fixation_time_hours;ordered_tests",severity=HOLD,true,"SC-103;SC-105"
ACC-010,Specimen type unrecognized (not whitelist or blacklist) -> PENDING_LLM_REVIEW,samantha_server/rules/specs/ACC-010.yaml,docs/plans/phase-2-implementation.md#step-8,specimen_type,severity=PROCEED,true,LR-001;LR-002;LR-003
